country,year,age,gender,value,pop,fertility_rate
Russian Federation,2003,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2003,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2003,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2003,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2003,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2003,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2003,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2003,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2003,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2003,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2004,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2004,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2004,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2004,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2004,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2004,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2004,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2004,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2004,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2004,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2005,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2005,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2005,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2005,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2005,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2005,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2005,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2005,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2005,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2005,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2006,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2006,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2006,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2006,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2006,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2006,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2006,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2006,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2006,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2006,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2007,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2007,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2007,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2007,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2007,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2007,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2007,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2007,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2007,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2007,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2008,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2008,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2008,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2008,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2008,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2008,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2008,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2008,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2008,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2008,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2009,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2009,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2009,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2009,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2009,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2009,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2009,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2009,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2009,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2009,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2010,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2010,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2010,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2010,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2010,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2010,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2010,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2010,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2010,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2010,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2011,15-19,Male,13699,4199,3.262443438914027
Russian Federation,2011,20-24,Male,263262,6143,42.85560800911607
Russian Federation,2011,25-29,Male,520811,6218,83.75860405275009
Russian Federation,2011,30-34,Male,399070,5475,72.88949771689498
Russian Federation,2011,35-39,Male,225463,5061,44.54910096818811
Russian Federation,2011,40-44,Male,92522,4266,21.688232536333803
Russian Federation,2011,45-49,Male,31887,5141,6.202489787978992
Russian Federation,2011,50-54,Male,10693,5247,2.0379264341528494
Russian Federation,2011,55-59,Male,2954,4564,0.647239263803681
Russian Federation,2011,60+,Male,1044,9145,0.11416074357572444
Russian Federation,2012,15-19,Male,12731,3900,3.2643589743589745
Russian Federation,2012,20-24,Male,256939,5796,44.33040027605245
Russian Federation,2012,25-29,Male,564777,6355,88.87128245476003
Russian Federation,2012,30-34,Male,431851,5604,77.0612062812277
Russian Federation,2012,35-39,Male,245613,5116,48.00879593432369
Russian Federation,2012,40-44,Male,102880,4368,23.553113553113555
Russian Federation,2012,45-49,Male,33963,4834,7.025858502275548
Russian Federation,2012,50-54,Male,11671,5258,2.219665271966527
Russian Federation,2012,55-59,Male,3196,4640,0.6887931034482758
Russian Federation,2012,60+,Male,1203,9403,0.12793789216207593
Russian Federation,2013,15-19,Male,12731,3900,3.2643589743589745
Russian Federation,2013,20-24,Male,256939,5796,44.33040027605245
Russian Federation,2013,25-29,Male,564777,6355,88.87128245476003
Russian Federation,2013,30-34,Male,431851,5604,77.0612062812277
Russian Federation,2013,35-39,Male,245613,5116,48.00879593432369
Russian Federation,2013,40-44,Male,102880,4368,23.553113553113555
Russian Federation,2013,45-49,Male,33963,4834,7.025858502275548
Russian Federation,2013,50-54,Male,11671,5258,2.219665271966527
Russian Federation,2013,55-59,Male,3196,4640,0.6887931034482758
Russian Federation,2013,60+,Male,1203,9403,0.12793789216207593
Russian Federation,2014,15-19,Male,12731,3900,3.2643589743589745
Russian Federation,2014,20-24,Male,256939,5796,44.33040027605245
Russian Federation,2014,25-29,Male,564777,6355,88.87128245476003
Russian Federation,2014,30-34,Male,431851,5604,77.0612062812277
Russian Federation,2014,35-39,Male,245613,5116,48.00879593432369
Russian Federation,2014,40-44,Male,102880,4368,23.553113553113555
Russian Federation,2014,45-49,Male,33963,4834,7.025858502275548
Russian Federation,2014,50-54,Male,11671,5258,2.219665271966527
Russian Federation,2014,55-59,Male,3196,4640,0.6887931034482758
Russian Federation,2014,60+,Male,1203,9403,0.12793789216207593
Russian Federation,2015,15-19,Male,12731,3900,3.2643589743589745
Russian Federation,2015,20-24,Male,256939,5796,44.33040027605245
Russian Federation,2015,25-29,Male,564777,6355,88.87128245476003
Russian Federation,2015,30-34,Male,431851,5604,77.0612062812277
Russian Federation,2015,35-39,Male,245613,5116,48.00879593432369
Russian Federation,2015,40-44,Male,102880,4368,23.553113553113555
Russian Federation,2015,45-49,Male,33963,4834,7.025858502275548
Russian Federation,2015,50-54,Male,11671,5258,2.219665271966527
Russian Federation,2015,55-59,Male,3196,4640,0.6887931034482758
Russian Federation,2015,60+,Male,1203,9403,0.12793789216207593
Russian Federation,2016,15-19,Male,12731,3900,3.2643589743589745
Russian Federation,2016,20-24,Male,256939,5796,44.33040027605245
Russian Federation,2016,25-29,Male,564777,6355,88.87128245476003
Russian Federation,2016,30-34,Male,431851,5604,77.0612062812277
