"","age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"1","0-9","Female",217.190473105,442.628685695,82
"2","10-19","Female",269.42615651,445.37793219,64
"3","20-29","Female",1303.14283863,2083.92884321,284
"4","30-39","Female",4349.30795509,6026.34831704,610
"5","40-49","Female",8000.30730045,13273.36207786,1918
"6","50-59","Female",16008.862340385,25933.642187335,3610
"7","60-69","Female",21576.08649276,34843.95007763,4826
"8","70-79","Female",15970.372889455,26230.560808795,3732
"9","80+","Female",10097.982376135,17674.905716355,2756
"10","0-9","Male",200.694994135,384.8945093,67
"11","10-19","Male",247.43218455,387.643755795,51
"12","20-29","Male",1201.420718315,1814.5026867,223
"13","30-39","Male",3601.51290845,6853.871512035,1183
"14","40-49","Male",8157.014350665,12825.234899175,1698
"15","50-59","Male",15464.511534375,25719.200960725,3730
"16","60-69","Male",20809.046720655,30337.935072325,3466
"17","70-79","Male",14887.169770425,24897.17625872,3641
"18","80+","Male",7057.315752665,12561.307235655,2002
