0 years,1 years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0072227202048842955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0072227202048842955,0.0072227202048842955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04044914895418748,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0,0,0,0,0,0,0,0,0,0,0,0
0.04044914895418748,0.04044914895418748,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.007691792597954937,0,0,0,0,0,0,0,0,0,0,0
0.04044914895418748,0.04044914895418748,0.04044914895418748,0.0072227202048842955,0.0072227202048842955,0.0072227202048842955,0.007691792597954937,0.00833080085806221,0,0,0,0,0,0,0,0,0,0
