age,gender,COVID19_deaths,date,rate,nb_c,orphans
0-4,female,136,2021-10-09,0.003450287946824974,0,0
0-4,male,193,2021-10-09,0.004896364512773676,0,0
10-14,female,37,2021-10-09,9.38681279650912e-4,0,0
10-14,male,55,2021-10-09,0.0013953370373189233,0,0
15-19,female,79,2021-10-09,0.0020042113808762716,0.15789516196588393,12
15-19,male,91,2021-10-09,0.0023086485526549456,0.02866611304655091,3
20-24,female,145,2021-10-09,0.0036786158256589797,0.6345643803429527,92
20-24,male,184,2021-10-09,0.004668036633939671,0.23366644895429473,43
25-29,female,261,2021-10-09,0.006596138721871274,1.2844704237639941,335
25-29,male,336,2021-10-09,0.008498871045487988,0.6985809126126264,235
30-34,female,372,2021-10-09,0.00941218256082401,1.9722373197364227,734
30-34,male,471,2021-10-09,0.011923789227998072,1.2283279187069105,579
35-39,female,451,2021-10-09,0.011416393941700282,2.3559671846589403,1063
35-39,male,675,2021-10-09,0.017073851383920643,1.5909850804049988,1074
40-44,female,612,2021-10-09,0.015500925996397493,2.0369014782130197,1247
40-44,male,955,2021-10-09,0.024177385392089707,1.5818433243706436,1511
45-49,female,836,2021-10-09,0.021158383438617857,1.349077291897919,1128
45-49,male,1376,2021-10-09,0.034832686404343303,1.2061499206369255,1660
5-9,female,21,2021-10-09,5.327650506126798e-4,0,0
5-9,male,28,2021-10-09,7.103534008169064e-4,0,0
50-54,female,1281,2021-10-09,0.0324225587944288,0.7069520458655595,906
50-54,male,1960,2021-10-09,0.04962325899992389,0.7693148092093218,1508
55-59,female,1704,2021-10-09,0.04312859933531218,0.2698084303065215,460
55-59,male,2470,2021-10-09,0.06251109927188776,0.4025573598803683,994
60-64,female,2103,2021-10-09,0.0532257655326382,0.05204371580475117,109
60-64,male,2993,2021-10-09,0.0757541162442601,0.18612907623172606,557
65-69,female,2310,2021-10-09,0.05847730674582033,0.0032224933370637457,7
65-69,male,3155,2021-10-09,0.07986401806327219,0.07895489314562187,249
70-74,female,2261,2021-10-09,0.057234188294390746,0,0
70-74,male,2962,2021-10-09,0.07496765355049852,0.0390432677986675,116
75-79,female,1779,2021-10-09,0.04503133165892889,0,0
75-79,male,1892,2021-10-09,0.0478981150265114,0.021793469667968468,41
80+,female,2925,2021-10-09,0.0740289722708476,0,0
80+,male,2396,2021-10-09,0.06065910647690083,0.014992432268731561,36
