"","country","orphans.x","primary_loss.x","all.x","orphans.y","primary_loss.y","all.y"
"1","Argentina","13,000","14,100","19,500","30,300","32,100","41,200"
"2","Brazil","113,200","130,400","189,900","169,900","195,800","285,500"
"3","Colombia","29,900","33,300","50,100","55,000","61,000","90,300"
"4","England & Wales","8,500","8,900","10,400","10,400","10,900","12,600"
"5","France","4,100","4,400","5,500","5,300","5,700","7,100"
"6","Germany","1,600","1,800","2,800","2,400","2,600","3,800"
"7","India","252,600","259,000","406,300","1,915,400","1,963,300","3,080,300"
"8","I.R. Iran","40,400","41,000","54,200","71,200","72,200","95,400"
"9","Italy","3,200","3,600","5,800","3,800","4,200","6,700"
"10","Kenya","4,300","4,500","4,900","8,400","8,700","9,400"
"11","Malawi","2,200","2,400","2,500","3,500","3,800","4,200"
"12","Mexico","131,300","141,100","203,500","192,600","205,100","284,600"
"13","Nigeria","3,900","3,900","4,500","5,600","5,700","6,400"
"14","Peru","92,700","99,000","136,600","80,200","85,700","118,500"
"15","Philippines","6,500","7,200","10,400","16,300","18,100","25,700"
"16","Poland","3,200","4,100","8,600","5,700","7,800","17,900"
"17","Russian Federation","22,300","29,700","56,500","36,800","49,100","93,400"
"18","South Africa","82,400","94,600","119,200","134,500","153,600","192,900"
"19","Spain","2,300","2,700","6,000","3,600","4,300","10,500"
"20","USA","104,900","113,700","136,700","253,400","270,700","315,500"
"21","Zimbabwe","2,700","2,800","3,000","8,000","8,400","8,900"
"22","Study total","925,100","1,002,100","1,437,000","3,012,000","3,168,800","4,710,900"
"23","Global extrapolation","1,162,300 [879,500 - 1,207,800]","1,258,100 [971,200 - 1,354,800]","1,756,300 [1,466,300 - 1,906,100]","3,475,000 [2,323,800 - 4,020,200]","3,665,600 [2,550,300 - 4,368,000]","5,339,700 [3,908,500 - 5,975,700]"
