"","age","gender","deaths.x","deaths.y","deaths"
"1","0-9","Female",0,0,0
"2","10-19","Female",0,0,0
"3","20-29","Female",207.50076,355.056856,64
"4","30-39","Female",2294.03618,3912.542108,702
"5","40-49","Female",2711.343264,4622.65582,829
"6","50-59","Female",11260.374576,19203.042556,3445
"7","60-69","Female",14806.332008,25248.231364,4529
"8","70-79","Female",10843.067492,18492.928844,3318
"9","80+","Female",7716.722708,13157.853748,2360
"10","0-9","Male",0,0,0
"11","10-19","Male",0,0,0
"12","20-29","Male",484.16844,825.391912,148
"13","30-39","Male",5321.241712,9072.39434,1627
"14","40-49","Male",6287.273028,10723.178164,1924
"15","50-59","Male",26119.734556,44541.190916,7990
"16","60-69","Male",34341.37578,58563.631164,10506
"17","70-79","Male",25151.397676,42892.712656,7695
"18","80+","Male",17895.787768,30518.750668,5475
