"","age","gender","deaths.x","deaths.y","deaths"
"1","0-9","Female",0,0,0
"2","10-19","Female",0,0,0
"3","20-29","Female",207.50076,366.584676,69
"4","30-39","Female",2294.03618,4037.042564,756
"5","40-49","Female",2711.343264,4772.51748,894
"6","50-59","Female",11260.374576,19820.933708,3713
"7","60-69","Female",14806.332008,26059.789892,4881
"8","70-79","Female",10843.067492,19087.764356,3576
"9","80+","Female",7716.722708,13579.77196,2543
"10","0-9","Male",0,0,0
"11","10-19","Male",0,0,0
"12","20-29","Male",484.16844,850.753116,159
"13","30-39","Male",5321.241712,9365.200968,1754
"14","40-49","Male",6287.273028,11066.7072,2073
"15","50-59","Male",26119.734556,45972.94616,8611
"16","60-69","Male",34341.37578,60447.276952,11323
"17","70-79","Male",25151.397676,44271.439928,8293
"18","80+","Male",17895.787768,31500.920932,5901
