X,age,gender,death.x,death.y,death,child_age,nb_c,orphans
1,0-9,Female,0,0,0,0,0,0
1,0-9,Female,0,0,0,1,0,0
1,0-9,Female,0,0,0,2,0,0
1,0-9,Female,0,0,0,3,0,0
1,0-9,Female,0,0,0,4,0,0
1,0-9,Female,0,0,0,5,0,0
1,0-9,Female,0,0,0,6,0,0
1,0-9,Female,0,0,0,7,0,0
1,0-9,Female,0,0,0,8,0,0
1,0-9,Female,0,0,0,9,0,0
1,0-9,Female,0,0,0,10,0,0
1,0-9,Female,0,0,0,11,0,0
1,0-9,Female,0,0,0,12,0,0
1,0-9,Female,0,0,0,13,0,0
1,0-9,Female,0,0,0,14,0,0
1,0-9,Female,0,0,0,15,0,0
1,0-9,Female,0,0,0,16,0,0
1,0-9,Female,0,0,0,17,0,0
11,0-9,Male,0,0,0,0,0,0
11,0-9,Male,0,0,0,1,0,0
11,0-9,Male,0,0,0,2,0,0
11,0-9,Male,0,0,0,3,0,0
11,0-9,Male,0,0,0,4,0,0
11,0-9,Male,0,0,0,5,0,0
11,0-9,Male,0,0,0,6,0,0
11,0-9,Male,0,0,0,7,0,0
11,0-9,Male,0,0,0,8,0,0
11,0-9,Male,0,0,0,9,0,0
11,0-9,Male,0,0,0,10,0,0
11,0-9,Male,0,0,0,11,0,0
11,0-9,Male,0,0,0,12,0,0
11,0-9,Male,0,0,0,13,0,0
11,0-9,Male,0,0,0,14,0,0
11,0-9,Male,0,0,0,15,0,0
11,0-9,Male,0,0,0,16,0,0
11,0-9,Male,0,0,0,17,0,0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,0,0.00524943342175065,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,1,0.00419948839190628,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,2,0.00314939251220835,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,3,0.00209944455500276,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,4,0.00104974023115025,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,5,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,6,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,7,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,8,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,9,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,10,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,11,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,12,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,13,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,14,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,15,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,16,0,-0
2,10-19,Female,23.1171232876712,1,-22.1171232876712,17,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,0,7.92886835244015e-4,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,1,6.34300655553816e-4,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,2,4.7569169114508e-4,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,3,3.17105069299322e-4,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,4,1.60422526175757e-4,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,5,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,6,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,7,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,8,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,9,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,10,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,11,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,12,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,13,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,14,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,15,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,16,0,-0
12,10-19,Male,23.1171232876712,1,-22.1171232876712,17,0,-0
3,20-29,Female,0,9.2,9.2,0,0.07201955649867375,1
3,20-29,Female,0,9.2,9.2,1,0.06351497050053251,1
3,20-29,Female,0,9.2,9.2,2,0.05500747650569724,1
3,20-29,Female,0,9.2,9.2,3,0.046501162852404646,0
3,20-29,Female,0,9.2,9.2,4,0.037999440836543774,0
3,20-29,Female,0,9.2,9.2,5,0.02959612757408335,0
3,20-29,Female,0,9.2,9.2,6,0.02782135170103093,0
3,20-29,Female,0,9.2,9.2,7,0.02265630373532551,0
3,20-29,Female,0,9.2,9.2,8,0.01749147343234326,0
3,20-29,Female,0,9.2,9.2,9,0.01232690960893856,0
3,20-29,Female,0,9.2,9.2,10,0.0071594428852782,0
3,20-29,Female,0,9.2,9.2,11,0.006370393028732919,0
3,20-29,Female,0,9.2,9.2,12,0.00477800516389761,0
3,20-29,Female,0,9.2,9.2,13,0.0031854715447154403,0
3,20-29,Female,0,9.2,9.2,14,0.0015927954991816699,0
3,20-29,Female,0,9.2,9.2,15,0,0
3,20-29,Female,0,9.2,9.2,16,0,0
3,20-29,Female,0,9.2,9.2,17,0,0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,0,0.0468631771439387,-1
13,20-29,Male,23.1171232876712,1,-22.1171232876712,1,0.039906756963369164,-1
13,20-29,Male,23.1171232876712,1,-22.1171232876712,2,0.03294864668300498,-1
13,20-29,Male,23.1171232876712,1,-22.1171232876712,3,0.025991509159065243,-1
13,20-29,Male,23.1171232876712,1,-22.1171232876712,4,0.018181138347325636,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,5,0.01169452583795471,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,6,0.00951878211392864,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,7,0.008184963956854304,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,8,0.005771225891609665,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,9,0.00329662096882102,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,10,9.8932737296497e-4,-0
13,20-29,Male,23.1171232876712,1,-22.1171232876712,11,8.61303361638808e-4,-0
