age,gender,COVID19_deaths,excess_deaths,death,nb_c,orphans
0-9,Female,0,-236.8,0,0,0
0-9,Male,0,-226.6,0,0,0
10-19,Female,26.369520547945207,1.1999999999999984,26.369520547945207,0.015747499112018316,0
10-19,Male,26.369520547945207,-154.79999999999998,26.369520547945207,0.0023804067774179888,0
20-29,Female,0,7.000000000000005,7.000000000000005,0.4080208813673793,3
20-29,Male,26.369520547945207,-378.6,26.369520547945207,0.20542899560483716,5
30-39,Female,369.1732876712329,341.2,369.1732876712329,1.1574129135111868,427
30-39,Male,342.8037671232877,846.4,846.4,0.9072152153048251,768
40-49,Female,606.4989726027397,1038.6,1038.6,0.7627084381090641,792
40-49,Male,1186.6284246575344,3080.6,3080.6,0.903001354035259,2782
50-59,Female,1634.910273972603,-1033,1634.910273972603,0.10724182707320419,175
50-59,Male,3032.4948630136987,-1356.6,3032.4948630136987,0.23097537350910435,700
60-69,Female,4350.970890410959,8635.4,8635.4,0.00192735293408357,17
60-69,Male,9994.048287671234,18471.8,18471.8,0.022106166782091208,408
70-79,Female,8570.094178082192,20729,20729,0,0
70-79,Male,13501.194520547946,31650.4,31650.4,0.00782528375731755,248
80-89,Female,13527.564041095891,16314.4,16314.4,0,0
80-89,Male,11839.914726027399,18045.2,18045.2,0.00782528375731755,141
90+,Female,5300.273630136987,22511.8,22511.8,0,0
90+,Male,2663.321575342466,10817.6,10817.6,0.00782528375731755,85
