"","age","gender","deaths.x","deaths.y","deaths"
"1","0-4","Male",384.305595307,558.20924458,81
"2","0-4","Female",307.015084519,468.036981994,75
"3","10-14","Male",0,199.667152869,93
"4","10-14","Female",0,0,0
"5","15-19","Male",231.871532364,418.656933435,87
"6","15-19","Female",255.488077327,474.477857893,102
"7","20-24","Male",895.281749961,1543.663257127,302
"8","20-24","Female",635.499755368,1060.597564702,198
"9","25-29","Male",2131.929922569,3984.755222848,863
"10","25-29","Female",1268.852552103,2411.034544859,532
"11","30-34","Male",4433.469577145,7177.282710119,1278
"12","30-34","Female",2170.575177963,3748.589773218,735
"13","35-39","Male",7565.882222692,12542.532333986,2318
"14","35-39","Female",3261.230163527,5809.670060898,1187
"15","40-44","Male",12579.030630747,18468.138161066,2743
"16","40-44","Female",5470.450596884,8617.891952862,1466
"17","45-49","Male",20643.007256295,28784.274392631,3792
"18","45-49","Female",9841.658373672,14650.845711592,2240
"19","5-9","Male",0,124.523600714,58
"20","5-9","Female",0,90.172262586,42
"21","50-54","Male",27326.489480824,35815.563915706,3954
"22","50-54","Female",14159.192184635,19264.659813909,2378
"23","55-59","Male",34486.596521879,44450.631537632,4641
"24","55-59","Female",20224.35032286,27287.84422543,3290
"25","60-64","Male",39862.580938911,50157.247584146,4795
"26","60-64","Female",24840.31138381,32625.183387068,3626
"27","65-69","Male",40899.56195865,51026.765830511,4717
"28","65-69","Female",26012.550797428,33567.698226955,3519
"29","70-74","Male",36721.580458832,45874.065111311,4263
"30","70-74","Female",23876.326957593,29920.015509488,2815
"31","75-79","Male",28580.313322496,36403.830581148,3644
"32","75-79","Female",19170.193634057,24507.532795695,2486
"33","80+","Male",34029.29433305,45401.734212051,5297
"34","80+","Female",23429.759561929,31674.080712649,3840
