"","age","gender","deaths.x","deaths.y","deaths"
"1","0-4","Male",384.305595307,536.73965825,71
"2","0-4","Female",307.015084519,446.567395664,65
"3","10-14","Male",0,188.932359704,88
"4","10-14","Female",0,143.846228411,67
"5","15-19","Male",231.871532364,395.040388472,76
"6","15-19","Female",255.488077327,437.979561132,85
"7","20-24","Male",895.281749961,1477.107539504,271
"8","20-24","Female",635.499755368,1004.776640244,172
"9","25-29","Male",2131.929922569,3720.679310989,740
"10","25-29","Female",1268.852552103,2237.130895586,451
"11","30-34","Male",4433.469577145,6956.14597092,1175
"12","30-34","Female",2170.575177963,3613.331379339,672
"13","35-39","Male",7565.882222692,12147.491945514,2134
"14","35-39","Female",3261.230163527,5541.300231773,1062
"15","40-44","Male",12579.030630747,17937.839378715,2496
"16","40-44","Female",5470.450596884,8306.582951077,1321
"17","45-49","Male",20643.007256295,28193.860768556,3517
"18","45-49","Female",9841.658373672,14245.070529955,2051
"19","5-9","Male",0,124.523600714,58
"20","5-9","Female",0,85.87834532,40
"21","50-54","Male",27326.489480824,35306.734719685,3717
"22","50-54","Female",14159.192184635,18779.447162851,2152
"23","55-59","Male",34486.596521879,43729.253436944,4305
"24","55-59","Female",20224.35032286,26733.928898116,3032
"25","60-64","Male",39862.580938911,49180.381406131,4340
"26","60-64","Female",24840.31138381,31723.460761208,3206
"27","65-69","Male",40899.56195865,50019.842231634,4248
"28","65-69","Female",26012.550797428,32650.946890664,3092
"29","70-74","Male",36721.580458832,44989.518154515,3851
"30","70-74","Female",23876.326957593,29353.218430376,2551
"31","75-79","Male",28580.313322496,35514.989707086,3230
"32","75-79","Female",19170.193634057,23906.384378455,2206
"33","80+","Male",34029.29433305,44171.526915342,4724
"34","80+","Female",23429.759561929,30806.709424917,3436
